parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
046,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
047,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
048,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
049,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
050,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
051,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
052,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
053,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
055,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
